epoch,train_loss,train_acc,val_loss,val_kld,val_acc,lr
1,29.2970106931406,0.20057011159631247,1.3661990599724854,1.3661990599724854,0.17020631067961164,0.07720973782771536
2,167.25828856324551,0.18542218742471694,1.3629350687066715,1.3629350687066715,0.19078681229773461,0.09908385206026192
3,19915.50913891219,0.18626252385496184,1.3637183260859795,1.3637183260859795,0.19078681229773461,0.09467429533819789
4,134.09794202858816,0.1855688622754491,1.3724599174407695,1.3724599174407695,0.19078681229773461,0.08696857389453956
5,6249.047170705068,0.18642189746046958,1.3539497171646182,1.3539497171646182,0.17020631067961164,0.07652921625098713
6,22.460910178729822,0.18665158371040724,1.356052568815287,1.356052568815287,0.19078681229773461,0.06404870619338823
7,99.38307709726685,0.1871000237022991,1.3541514339425802,1.3541514339425802,0.19078681229773461,0.05045103402657544
8,5.38333091493043,0.18657584068685906,1.3532694342356284,1.3532694342356284,0.19078681229773461,0.03690126521777938
9,1.8726732337987397,0.1877402113860197,1.348960650463899,1.348960650463899,0.17020631067961164,0.024413580081726012
10,1.9362584276855064,0.18938480096501809,1.3490026314956856,1.3490026314956856,0.17020631067961164,0.013849610490762205
