epoch,train_loss,train_acc,val_loss,val_kld,val_acc,lr
1,0.7004952119931466,0.6469282670454546,0.9325417755736574,0.9325417755736574,0.575343851132686,0.0007911985018726592
2,0.4969353776434957,0.7448104151667867,0.7765540864790069,0.7765540864790069,0.6456310679611651,0.0009900890192557081
3,0.37948503744122347,0.7918358815097946,0.753364680675318,0.753364680675318,0.6003236245954693,0.0009450870449192769
4,0.309652122781519,0.820340555422552,0.8892473784535498,0.8892473784535498,0.6031553398058253,0.0008671668011613125
5,0.26918237702529535,0.8367763631996157,0.9082644339728692,0.9082644339728692,0.5819680420711975,0.0007624326520131586
6,0.23415240175050855,0.8493399143672693,0.8776663256819288,0.8776663256819288,0.5896035598705501,0.0006370959097279318
7,0.2029526726458596,0.8630532296650718,0.7742957052269107,0.7742957052269107,0.6168082524271845,0.0005022551930723478
8,0.1792258084899851,0.8741411523625844,0.8060584672556259,0.8060584672556259,0.583029935275081,0.0003682557920308899
9,0.16110208472846851,0.8838750299832094,0.835617878757045,0.835617878757045,0.5917779126213593,0.0002432938804924516
10,0.14604041800187492,0.8880102649797088,0.8781074207673764,0.8781074207673764,0.5814118122977346,0.0001368294609386902
