epoch,train_loss,train_acc,val_loss,val_kld,val_acc,lr
1,0.871941882204165,0.5454724648229015,0.8990734499885963,0.8990734499885963,0.5810578478964401,7.720973782771536e-05
2,0.4417492461668328,0.7644694049626596,0.7096438001148843,0.7096438001148843,0.6503337378640777,9.908385206026192e-05
3,0.31683354252391277,0.8185233778625954,0.7328340348311584,0.7328340348311584,0.6351132686084142,9.467429533819789e-05
4,0.25860252389740085,0.8404790419161676,0.8194196782901806,0.8194196782901806,0.6378944174757282,8.696857389453957e-05
5,0.22446468488188753,0.8518657163392429,0.756026901680352,0.756026901680352,0.6499797734627831,7.652921625098713e-05
6,0.19869465484752077,0.8629584424863063,0.8037283707583555,0.8037283707583555,0.6318264563106796,6.404870619338823e-05
7,0.17996573133222382,0.873074188196255,0.8035073868287006,0.8035073868287006,0.6312702265372169,5.045103402657544e-05
8,0.16326385759609696,0.8803213689482471,0.8602157477359667,0.8602157477359667,0.6261124595469255,3.690126521777938e-05
9,0.1533403795708258,0.8854942349267355,0.8359791774705672,0.8359791774705672,0.6308656957928802,2.4413580081726013e-05
10,0.142992734251627,0.8892490952955368,0.8471892032627419,0.8471892032627419,0.6092738673139159,1.3849610490762205e-05
