epoch,train_loss,train_acc,val_loss,val_kld,val_acc,lr
1,0.9903290893692483,0.4935334456207892,1.048887416804782,1.048887416804782,0.48270631067961167,0.0007784644194756555
2,0.818014251705116,0.5883589835361489,1.0090365902336862,1.0090365902336862,0.4710254854368932,0.0009903719060125678
3,0.7029468723998056,0.6439168255481411,0.9149641644942023,0.9149641644942023,0.502831715210356,0.0009455922573657674
4,0.6352389644203842,0.6758027797747423,1.0854511237532314,1.0854511237532314,0.4594457928802589,0.0008680087195033637
5,0.5866592921418442,0.6977043874370654,1.0121012463243406,1.0121012463243406,0.49883697411003236,0.0007632667528159353
6,0.5436187067237876,0.7172369367209971,1.0987586452982472,1.0987586452982472,0.47567758899676377,0.0006390435285017416
7,0.5017615059034479,0.734278135431569,1.055551921043134,1.055551921043134,0.4831108414239482,0.0005038239987217765
8,0.4631988306391971,0.7534145607701564,1.0277033189430675,1.0277033189430675,0.4740088996763754,0.000369548956616344
9,0.4278108939067384,0.7685296234108899,1.0857203190862375,1.0857203190862375,0.48624595469255666,0.0002444447516481632
10,0.39376693443621075,0.7836469534050179,1.079282436389459,1.079282436389459,0.5123381877022654,0.0001378419505719525
