epoch,train_loss,train_acc,val_loss,val_kld,val_acc,lr
1,0.9593106845790527,0.6546276079573022,1.1609627404990575,0.8787995737761555,0.5874292071197411,0.0007720973782771535
2,0.6990541303092831,0.7667730667309082,1.207012813576061,1.075779540821974,0.6256067961165048,0.0009908385206026191
3,0.5355029583256337,0.8287362833969466,1.456827358469472,1.2125384126831211,0.5869235436893204,0.0009467429533819789
4,0.4406580913316704,0.8609880239520958,1.8743830715193908,1.6765984830164722,0.5415149676375405,0.0008696857389453956
5,0.3830301689093814,0.8810942740776234,1.607636842403615,1.3444438046665954,0.5701860841423948,0.0007652921625098712
6,0.3281704023399238,0.896671826625387,1.688636306076626,1.5578921452768497,0.6401699029126213,0.0006404870619338823
7,0.28781918055310796,0.9073240104290116,1.7045618397916105,1.5804548168748875,0.588845064724919,0.0005045103402657544
8,0.2502528491303991,0.9160654662532792,2.077347347854889,1.9294217093666486,0.5805016181229773,0.0003690126521777938
9,0.22126726984053,0.9224717751621427,1.9240662594157867,1.764302284082286,0.6033576051779935,0.0002441358008172601
10,0.19477634366037674,0.9284831121833534,2.4556720454818173,2.383493309377318,0.5779227346278317,0.00013849610490762206
