epoch,train_loss,train_acc,val_loss,val_kld,val_acc,lr
1,0.6964449461573018,0.6482593401261524,0.837781291567278,0.837781291567278,0.6244437702265372,0.0007720973782771535
2,0.4888033500186681,0.746702601782703,0.708331418842677,0.708331418842677,0.6286913430420712,0.0009908385206026191
3,0.3792680629550387,0.7918207299618321,0.8127617625008009,0.8127617625008009,0.5903114886731392,0.0009467429533819789
4,0.31111731775863444,0.8208383233532934,0.856762677665712,0.856762677665712,0.6350121359223301,0.0008696857389453956
5,0.2685872646531507,0.8361433876377575,0.7688540897571744,0.7688540897571744,0.5905643203883495,0.0007652921625098712
6,0.22756988211586152,0.8504108120981186,0.8348436232210211,0.8348436232210211,0.6288936084142395,0.0006404870619338823
7,0.19971800535214432,0.865267243422612,0.8127386094626604,0.8127386094626604,0.6278822815533981,0.0005045103402657544
8,0.17397482814336132,0.8742696160267112,0.9162726361354512,0.9162726361354512,0.5585558252427184,0.0003690126521777938
9,0.1558980997754724,0.882671751141004,0.8746526226916315,0.8746526226916315,0.6186792071197411,0.0002441358008172601
10,0.13928161161683222,0.892807599517491,0.8858958951673289,0.8858958951673289,0.6194377022653722,0.00013849610490762206
