epoch,train_loss,train_acc,val_loss,val_kld,val_acc,lr
1,0.8301139956116677,0.574,0.810955284939458,0.810955284939458,0.62109375,0.0003752808988764045
2,0.4963817276402624,0.7416729041916168,0.6941834118104342,0.6941834118104342,0.640920928030303,0.000750561797752809
3,0.44947790081693434,0.7585199311023622,0.7746054347830288,0.7746054347830288,0.5552201704545454,0.0009994826126731905
4,0.3804058125686078,0.7922247023809523,0.7837188714607195,0.7837188714607195,0.6009706439393939,0.0009921636488303867
5,0.32386505172984437,0.8158725247524753,0.7792930626310408,0.7792930626310408,0.5892518939393939,0.0009762700868326919
6,0.2849524206646676,0.8266460905349794,0.7477886028531374,0.7477886028531374,0.6097301136363636,0.0009531400796660037
7,0.2620799525308421,0.8383567554240631,0.7604679124373378,0.7604679124373378,0.609079071969697,0.0009212297203118126
8,0.2404024653239194,0.8454997544204322,0.8359660384329882,0.8359660384329882,0.6232244318181818,0.0008817587439708259
9,0.21939400197125228,0.8560726516634051,0.7263176498412521,0.7263176498412521,0.638671875,0.0008353418185416605
10,0.20713622490932912,0.8605324074074074,0.7573982483396927,0.7573982483396927,0.6004971590909091,0.0007856358382473363
